Country;Number
  Austria;9519898
  Belgio;4912441
  Danimarca;3296288
  Finlandia;934276
  Francia;14197976
  Germania;58645390
  Grecia;852765
  Irlanda;1734636
  Lussemburgo;387452
  Paesi Bassi;11037222
  Portogallo;1005014
  Regno unito;14043501
  Spagna;5684438
  Svezia;2566196
  Bulgaria;711441
  CecaRepubblica;3903499
  Cipro;97618
  Croazia;697665
  Estonia;216920
  Lettonia;261615
  Lituania;454214
  Malta;373446
  Norvegia;1285585
  Polonia;5743920
  Romania;2510265
  Russia;5382255
  Slovacchia;1144272
  Slovenia;890307
  Turchia;985097
  Ungheria;2028427
Unione europea;147851102
Paesi europei non Ue;22221253
  Islanda;142553
  Altri paesi europei;3746661
Egitto;285933
NordAfrica;606081
Sud Africa;303267
Altri paesi africani;780323
Israele;1732936
Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);1454621
Cina;5287714
Giappone;2238222
Corea del sud;1843291
India;1258210
Altri Paesi dell'Asia;2568242
Canada;2398572
Stati Uniti;14546868
Messico;818997
Argentina;1752110
Brasile;2546197
Venezuela;137147
Altri Paesi Nordamericani;75297
Altri Paesi dell'America centro-meridionale;1664748
Nuova Zelanda;359063
Altri Paesi dell'Oceania;107875
Altri;877186
Switzerland and Liechtenstein;10679102
Australia;2795291
